Company Handle;Market Handle;Attack date;BETA;ERM;Dag 1 - ER;Dag 1 - Actual;Dag 1 - Difference;Dag 2 - ER;Dag 2 - Actual;Dag 2 - Difference;Dag 3 - ER;Dag 3 - Actual;Dag 3 - Difference;Dag 4 - ER;Dag 4 - Actual;Dag 4 - Difference;Dag 5 - ER;Dag 5 - Actual;Dag 5 - DifferenceMA;^NYA;8-12-2010;0.57457844591206225563;0.08160183803;0.0639886036723502218541615441786;-0.9005258689;-0.9645144725723502218541615441786;0.0639035194423627295819957156089;-0.9018082151;-0.9657117345423627295819957156089;0.0640736879023377141263273727483;-0.9008362855;-0.9649099734023377141263273727483;;;;;;
V;^NYA;8-12-2010;0.57778834251222275046;0.08160183803;0.0641214992920929946871483505812;-0.7559597403;-0.8200812395920929946871483505812;0.0640370570408156541599180279938;-0.7559105117;-0.8199475687408156541599180279938;0.0642059415433703352143786731686;-0.7553336930;-0.8195396345433703352143786731686;;;;;;
BAC;^NYA;27-12-2010;0.60711233571368895012;0.09239970544;0.0720089521429462874738649579236;-0.007052311248;-0.0790612633909462874738649579236;0.0725197046803362704793998468592;-0.03165560538;-0.1041753100603362704793998468592;0.0720089521429462874738649579236;-0.03455481703;-0.1065637691729462874738649579236;0.0720875296011548934694418584464;-0.03166869369;-0.1037562232911548934694418584464;0.0717339301021790871664939521300;-0.02067664399;-0.0924105740921790871664939521300
FMHK.EX;FMHK.EX;11-8-2011;1.0000000000;0.05134674055;0.051346740550000000000;0;-0.051346740550000000000;0.051346740550000000000;0;-0.051346740550000000000;;;;;;;0.051346740550000000000;0;-0.051346740550000000000
VOD;^IXIC;5-10-2011;0.71288520285231092681;0.01260284766;0.0163058109378819434558848397646;-0.1872783884;-0.2035841993378819434558848397646;0.0165642142553148636217558397646;-0.1773526632;-0.1939168774553148636217558397646;0.0167651946133182459729888397646;-0.2076551297;-0.2244203243133182459729888397646;;;;;;
VIV.PA;^SBF120;19-1-2012;0.85485444499274272225;-0.1499723057;-0.124314591279260950779027191825;-0.2595804026;-0.135265811320739049220972808175;-0.124227503946256596412377191825;-0.2680764392;-0.143848935253743403587622808175;;;;;;;-0.124169445724253693501277191825;-0.2600829476;-0.135913501875746306498722808175
^KLSE;^KLSE;14-2-2012;1.0000000000;0.04496991390;0.044969913900000000000;0.0005111317681;-0.044458782131900000000;0.044969913900000000000;-0.003421281506;-0.048391195406000000000;0.044969913900000000000;-0.004992735470;-0.049962649370000000000;0.044969913900000000000;0.002233387750;-0.042736526150000000000;;;
AAPL;^IXIC;29-5-2012;0.73024046045317868969;0.01027530141;0.0140316216899666719386556094629;-0.8660936980;-0.8801253196899666719386556094629;0.0137079102425104863662836094629;-0.8640743949;-0.8777823051425104863662836094629;0.0135730304727370757111286094629;-0.8671066377;-0.8806796681727370757111286094629;0.0131953671173715258766946094629;-0.8683318161;-0.8815271832173715258766946094629;;;
T;^NYA;16-8-2012;0.96195066859809753343;0.09960599923;0.0967863155064286009918284792589;-0.1529160921;-0.2497024076064286009918284792589;0.0967787056401482204985144792589;-0.1549641323;-0.2517428379401482204985144792589;;;;;;;0.0967787056401482204985144792589;-0.1597443467;-0.2565230523401482204985144792589
WFC;^NYA;20-12-2012;0.65101844598255092230;0.1850023565;0.129373874414586574895868399950;-0.05716372772;-0.186537602134586574895868399950;0.129199383637577850357018399950;-0.07890893857;-0.208108322207577850357018399950;;;;;;;0.129234281792979595264788399950;-0.07276037368;-0.201994655472979595264788399950
JPM;^NYA;13-3-2013;0.55873406564460336995;0.1196507925;0.079429052880252620519113185375;-0.07378802796;-0.153217080840252620519113185375;0.079517306067123699845123185375;-0.05752764179;-0.137044947857123699845123185375;0.079384926286817080856108185375;-0.07045837362;-0.149843299906817080856108185375;;;;;;
TD;^NYA;21-3-2013;0.83288800999164440050;0.09746559231;0.0857902141459634341918273601550;-0.5507526155;-0.6365428296459634341918273601550;0.0857735029469625986318773601550;-0.5456802294;-0.6314537323469625986318773601550;;;;;;;0.0857735029469625986318773601550;-0.5491488398;-0.6349223427469625986318773601550
AXP;^NYA;28-3-2013;0.66891049985011219166;0.1014835992;0.076855970521522405339471022672;-0.03094293659;-0.107798907111522405339471022672;;;;;;;;;;0.076789752621492427777803022672;-0.03539225854;-0.112182011161492427777803022672
ING;^NYA;9-4-2013;0.49444635550805565111;0.1328133551;0.078611252690986011433018139161;-0.01660067204;-0.095211924730986011433018139161;0.078914584877681178042352139161;-0.01053168831;-0.089446273187681178042352139161;0.078864029513231983607463139161;-0.02693746835;-0.105801497863231983607463139161;0.078459586597638428128351139161;-0.02571846154;-0.104178048137638428128351139161;;;
LNKD;^NYA;21-6-2013;0.40955173270381091997;0.1661370454;0.087172238670258225757043656638;-0.02439718014;-0.111569418810258225757043656638;;;;;;;0.087231283496987844665046656638;0.02307006170;-0.064161221796987844665046656638;0.087467462803906320297058656638;0.01126358529;-0.076203877513906320297058656638
WWWW;^IXIC;19-7-2013;0.42949542270480810447;0.2094026590;0.108364781389350487386386785730;0.002577319588;-0.105787461801350487386386785730;;;;;;;0.108307730931620968196833785730;-0.005524861878;-0.113832592809620968196833785730;0.108478882304809525765492785730;-0.003694163280;-0.112173045584809525765492785730
MSFT;^IXIC;27-11-2013;0.48513646084092348971;0.3537867255;0.189706550126052883331712844605;-0.04530018632;-0.235006736446052883331712844605;;;;0.189758036479968790982741844605;-0.03824267583;-0.228000712309968790982741844605;;;;;;
